ts_us,ch2_mv,ch3_mv
4335702756,370.026,356.299
4335704237,370.026,356.299
4335705681,370.026,356.299
4335707138,370.026,356.299
4335708606,370.026,356.299
4335710063,370.026,356.299
4335711496,370.026,356.299
4335712956,370.026,356.299
4335714442,370.026,356.299
4335715906,370.026,356.299
4335717388,370.026,356.299
4335718831,370.026,356.299
4335720312,370.026,356.299
4335721757,370.026,356.299
4335723239,370.026,356.299
4335724681,370.026,356.299
4335726138,370.026,356.299
4335727590,370.026,356.299
4335729057,370.026,356.299
4335730513,370.026,356.299
4335731956,370.026,356.299
4335733413,370.026,356.299
4335734856,370.026,356.299
4335736339,370.026,356.299
4335737781,370.026,356.299
4335739262,370.026,356.299
4335740710,370.026,356.299
4335742157,370.026,356.299
4335743611,370.026,356.299
4335745102,370.026,356.299
4335746628,370.026,356.299
4335748082,370.026,356.299
4335749541,370.026,356.299
4335751029,370.026,356.299
4335752490,370.026,356.299
4335753944,370.026,356.299
4335755439,370.026,356.299
4335756936,370.026,356.299
4335758409,370.026,356.299
4335759861,370.026,356.299
4335761371,370.026,356.299
4335762833,370.026,356.299
4335764311,370.026,356.299
4335765788,370.026,356.299
4335767261,370.026,356.299
4335768738,370.026,356.299
4335770222,370.026,356.299
4335771689,370.026,356.299
4335773160,370.026,356.299
4335774639,370.026,356.299
4335776093,370.026,356.299
4335777535,370.026,356.299
4335779009,370.026,356.299
4335780488,370.026,356.299
4335781935,370.026,356.299
4335783425,370.026,356.299
4335784937,370.026,356.299
4335786414,370.026,356.299
4335787937,370.026,356.299
4335789412,370.026,356.299
4335790936,370.026,356.299
4335792412,370.026,356.299
4335793942,370.026,356.299
4335795430,370.026,356.299
4335796938,370.026,356.299
4335798433,370.026,356.299
4335799932,370.026,356.299
4335801420,370.026,356.299
4335802942,370.026,356.299
4335804438,370.026,356.299
4335805913,370.026,356.299
4335807390,370.026,356.299
4335808859,370.026,356.299
4335810359,370.026,356.299
4335811807,370.026,356.299
4335813299,370.026,356.299
4335814760,370.026,356.299
4335816249,370.026,356.299
4335817705,370.026,356.299
4335819164,370.026,356.299
4335820605,370.026,356.299
4335822060,370.026,356.299
4335823517,370.026,356.299
4335824956,370.026,356.299
4335826436,370.026,356.299
4335827906,370.026,356.299
4335829396,370.026,356.299
4335830857,370.026,356.299
4335832339,370.026,356.299
4335833782,370.026,356.299
4335835263,370.026,356.299
4335836706,370.026,356.299
4335838163,370.026,356.299
4335839606,370.026,356.299
4335841063,370.026,356.299
4335842519,370.026,356.299
4335843956,370.026,356.299
4335845438,370.026,356.299
4335846908,370.026,356.299
4335848389,370.026,356.299
4335849831,370.026,356.299
4335851311,370.026,356.299
4335852757,370.026,356.299
4335854239,370.026,356.299
4335855682,370.026,356.299
4335857113,370.026,356.299
4335858606,370.026,356.299
4335860062,370.026,356.299
4335861523,370.026,356.299
4335862956,370.026,356.299
4335864437,370.026,356.299
4335865907,370.026,356.299
4335867389,370.026,356.299
4335868831,370.026,356.299
4335870312,370.026,356.299
4335871757,370.026,356.299
4335873238,370.026,356.299
4335874681,370.026,356.299
4335876113,370.026,356.299
4335877591,370.026,356.299
4335879032,370.026,356.299
